Code,Region/Country/Area,Year,Series,Value
4,Afghanistan,2019,GDP in current prices (millions of US dollars),18904.0
8,Albania,2019,GDP in current prices (millions of US dollars),15402.0
12,Algeria,2019,GDP in current prices (millions of US dollars),171760.0
20,Andorra,2019,GDP in current prices (millions of US dollars),3155.0
24,Angola,2019,GDP in current prices (millions of US dollars),83137.0
660,Anguilla,2019,GDP in current prices (millions of US dollars),377.0
28,Antigua and Barbuda,2019,GDP in current prices (millions of US dollars),1688.0
32,Argentina,2019,GDP in current prices (millions of US dollars),447755.0
51,Armenia,2019,GDP in current prices (millions of US dollars),13619.0
533,Aruba,2019,GDP in current prices (millions of US dollars),3369.0
36,Australia,2019,GDP in current prices (millions of US dollars),1376060.0
40,Austria,2019,GDP in current prices (millions of US dollars),444621.0
31,Azerbaijan,2019,GDP in current prices (millions of US dollars),48174.0
44,Bahamas,2019,GDP in current prices (millions of US dollars),13193.0
48,Bahrain,2019,GDP in current prices (millions of US dollars),38653.0
50,Bangladesh,2019,GDP in current prices (millions of US dollars),349474.0
52,Barbados,2019,GDP in current prices (millions of US dollars),5324.0
112,Belarus,2019,GDP in current prices (millions of US dollars),64410.0
56,Belgium,2019,GDP in current prices (millions of US dollars),535831.0
84,Belize,2019,GDP in current prices (millions of US dollars),2417.0
204,Benin,2019,GDP in current prices (millions of US dollars),14392.0
60,Bermuda,2019,GDP in current prices (millions of US dollars),7423.0
64,Bhutan,2019,GDP in current prices (millions of US dollars),2536.0
68,Bolivia (Plurin. State of),2019,GDP in current prices (millions of US dollars),40895.0
70,Bosnia and Herzegovina,2019,GDP in current prices (millions of US dollars),20203.0
72,Botswana,2019,GDP in current prices (millions of US dollars),16696.0
76,Brazil,2019,GDP in current prices (millions of US dollars),1881459.0
92,British Virgin Islands,2019,GDP in current prices (millions of US dollars),1439.0
96,Brunei Darussalam,2019,GDP in current prices (millions of US dollars),13469.0
100,Bulgaria,2019,GDP in current prices (millions of US dollars),68914.0
854,Burkina Faso,2019,GDP in current prices (millions of US dollars),16178.0
108,Burundi,2019,GDP in current prices (millions of US dollars),3369.0
132,Cabo Verde,2019,GDP in current prices (millions of US dollars),1982.0
116,Cambodia,2019,GDP in current prices (millions of US dollars),27098.0
120,Cameroon,2019,GDP in current prices (millions of US dollars),39671.0
124,Canada,2019,GDP in current prices (millions of US dollars),1741497.0
136,Cayman Islands,2019,GDP in current prices (millions of US dollars),5943.0
140,Central African Republic,2019,GDP in current prices (millions of US dollars),2221.0
148,Chad,2019,GDP in current prices (millions of US dollars),15299.0
152,Chile,2019,GDP in current prices (millions of US dollars),278585.0
156,China,2019,GDP in current prices (millions of US dollars),14279966.0
344,"China, Hong Kong SAR",2019,GDP in current prices (millions of US dollars),363052.0
446,"China, Macao SAR",2019,GDP in current prices (millions of US dollars),55205.0
170,Colombia,2019,GDP in current prices (millions of US dollars),323110.0
174,Comoros,2019,GDP in current prices (millions of US dollars),1193.0
178,Congo,2019,GDP in current prices (millions of US dollars),12910.0
184,Cook Islands,2019,GDP in current prices (millions of US dollars),357.0
188,Costa Rica,2019,GDP in current prices (millions of US dollars),64418.0
384,C魌e d扞voire,2019,GDP in current prices (millions of US dollars),58540.0
191,Croatia,2019,GDP in current prices (millions of US dollars),62328.0
192,Cuba,2019,GDP in current prices (millions of US dollars),103428.0
531,Cura鏰o,2019,GDP in current prices (millions of US dollars),2995.0
196,Cyprus,2019,GDP in current prices (millions of US dollars),25945.0
203,Czechia,2019,GDP in current prices (millions of US dollars),252548.0
408,Dem. People's Rep. Korea,2019,GDP in current prices (millions of US dollars),16331.0
180,Dem. Rep. of the Congo,2019,GDP in current prices (millions of US dollars),47320.0
208,Denmark,2019,GDP in current prices (millions of US dollars),346499.0
262,Djibouti,2019,GDP in current prices (millions of US dollars),3166.0
212,Dominica,2019,GDP in current prices (millions of US dollars),612.0
214,Dominican Republic,2019,GDP in current prices (millions of US dollars),88941.0
218,Ecuador,2019,GDP in current prices (millions of US dollars),108108.0
818,Egypt,2019,GDP in current prices (millions of US dollars),317347.0
222,El Salvador,2019,GDP in current prices (millions of US dollars),26881.0
226,Equatorial Guinea,2019,GDP in current prices (millions of US dollars),11417.0
232,Eritrea,2019,GDP in current prices (millions of US dollars),1982.0
233,Estonia,2019,GDP in current prices (millions of US dollars),31082.0
748,Eswatini,2019,GDP in current prices (millions of US dollars),4495.0
231,Ethiopia,2019,GDP in current prices (millions of US dollars),92562.0
242,Fiji,2019,GDP in current prices (millions of US dollars),5482.0
246,Finland,2019,GDP in current prices (millions of US dollars),268515.0
250,France,2019,GDP in current prices (millions of US dollars),2728870.0
258,French Polynesia,2019,GDP in current prices (millions of US dollars),6001.0
266,Gabon,2019,GDP in current prices (millions of US dollars),16874.0
270,Gambia,2019,GDP in current prices (millions of US dollars),1814.0
268,Georgia,2019,GDP in current prices (millions of US dollars),17477.0
276,Germany,2019,GDP in current prices (millions of US dollars),3888226.0
288,Ghana,2019,GDP in current prices (millions of US dollars),68353.0
300,Greece,2019,GDP in current prices (millions of US dollars),205257.0
304,Greenland,2019,GDP in current prices (millions of US dollars),2994.0
308,Grenada,2019,GDP in current prices (millions of US dollars),1213.0
320,Guatemala,2019,GDP in current prices (millions of US dollars),77170.0
324,Guinea,2019,GDP in current prices (millions of US dollars),13443.0
624,Guinea-Bissau,2019,GDP in current prices (millions of US dollars),1365.0
328,Guyana,2019,GDP in current prices (millions of US dollars),5174.0
332,Haiti,2019,GDP in current prices (millions of US dollars),14065.0
340,Honduras,2019,GDP in current prices (millions of US dollars),25090.0
348,Hungary,2019,GDP in current prices (millions of US dollars),163989.0
352,Iceland,2019,GDP in current prices (millions of US dollars),24826.0
356,India,2019,GDP in current prices (millions of US dollars),2850733.0
360,Indonesia,2019,GDP in current prices (millions of US dollars),1119100.0
364,Iran (Islamic Republic of),2019,GDP in current prices (millions of US dollars),519356.0
368,Iraq,2019,GDP in current prices (millions of US dollars),233636.0
372,Ireland,2019,GDP in current prices (millions of US dollars),399322.0
376,Israel,2019,GDP in current prices (millions of US dollars),397935.0
380,Italy,2019,GDP in current prices (millions of US dollars),2011302.0
388,Jamaica,2019,GDP in current prices (millions of US dollars),15831.0
392,Japan,2019,GDP in current prices (millions of US dollars),5123318.0
400,Jordan,2019,GDP in current prices (millions of US dollars),44503.0
398,Kazakhstan,2019,GDP in current prices (millions of US dollars),181667.0
404,Kenya,2019,GDP in current prices (millions of US dollars),100378.0
296,Kiribati,2019,GDP in current prices (millions of US dollars),175.0
412,Kosovo,2019,GDP in current prices (millions of US dollars),7899.0
414,Kuwait,2019,GDP in current prices (millions of US dollars),136192.0
417,Kyrgyzstan,2019,GDP in current prices (millions of US dollars),8871.0
418,Lao People's Dem. Rep.,2019,GDP in current prices (millions of US dollars),18741.0
428,Latvia,2019,GDP in current prices (millions of US dollars),34344.0
422,Lebanon,2019,GDP in current prices (millions of US dollars),52022.0
426,Lesotho,2019,GDP in current prices (millions of US dollars),2435.0
430,Liberia,2019,GDP in current prices (millions of US dollars),2582.0
434,Libya,2019,GDP in current prices (millions of US dollars),69254.0
438,Liechtenstein,2019,GDP in current prices (millions of US dollars),6427.0
440,Lithuania,2019,GDP in current prices (millions of US dollars),54752.0
442,Luxembourg,2019,GDP in current prices (millions of US dollars),69826.0
450,Madagascar,2019,GDP in current prices (millions of US dollars),14105.0
454,Malawi,2019,GDP in current prices (millions of US dollars),11032.0
458,Malaysia,2019,GDP in current prices (millions of US dollars),365279.0
462,Maldives,2019,GDP in current prices (millions of US dollars),5609.0
466,Mali,2019,GDP in current prices (millions of US dollars),17280.0
470,Malta,2019,GDP in current prices (millions of US dollars),15872.0
584,Marshall Islands,2019,GDP in current prices (millions of US dollars),240.0
478,Mauritania,2019,GDP in current prices (millions of US dollars),8066.0
480,Mauritius,2019,GDP in current prices (millions of US dollars),14433.0
484,Mexico,2019,GDP in current prices (millions of US dollars),1269010.0
583,Micronesia (Fed. States of),2019,GDP in current prices (millions of US dollars),412.0
492,Monaco,2019,GDP in current prices (millions of US dollars),7384.0
496,Mongolia,2019,GDP in current prices (millions of US dollars),14206.0
499,Montenegro,2019,GDP in current prices (millions of US dollars),5542.0
500,Montserrat,2019,GDP in current prices (millions of US dollars),65.0
504,Morocco,2019,GDP in current prices (millions of US dollars),128920.0
508,Mozambique,2019,GDP in current prices (millions of US dollars),15390.0
104,Myanmar,2019,GDP in current prices (millions of US dollars),74276.0
516,Namibia,2019,GDP in current prices (millions of US dollars),12543.0
520,Nauru,2019,GDP in current prices (millions of US dollars),133.0
524,Nepal,2019,GDP in current prices (millions of US dollars),34268.0
528,Netherlands (Kingdom of the),2019,GDP in current prices (millions of US dollars),910194.0
540,New Caledonia,2019,GDP in current prices (millions of US dollars),9476.0
554,New Zealand,2019,GDP in current prices (millions of US dollars),213435.0
558,Nicaragua,2019,GDP in current prices (millions of US dollars),12597.0
562,Niger,2019,GDP in current prices (millions of US dollars),12916.0
566,Nigeria,2019,GDP in current prices (millions of US dollars),474517.0
807,North Macedonia,2019,GDP in current prices (millions of US dollars),12606.0
578,Norway,2019,GDP in current prices (millions of US dollars),404941.0
512,Oman,2019,GDP in current prices (millions of US dollars),88061.0
586,Pakistan,2019,GDP in current prices (millions of US dollars),291919.0
585,Palau,2019,GDP in current prices (millions of US dollars),279.0
591,Panama,2019,GDP in current prices (millions of US dollars),66984.0
598,Papua New Guinea,2019,GDP in current prices (millions of US dollars),24751.0
600,Paraguay,2019,GDP in current prices (millions of US dollars),37925.0
604,Peru,2019,GDP in current prices (millions of US dollars),228326.0
608,Philippines,2019,GDP in current prices (millions of US dollars),376823.0
616,Poland,2019,GDP in current prices (millions of US dollars),596058.0
620,Portugal,2019,GDP in current prices (millions of US dollars),239987.0
630,Puerto Rico,2019,GDP in current prices (millions of US dollars),105126.0
634,Qatar,2019,GDP in current prices (millions of US dollars),176371.0
410,Republic of Korea,2019,GDP in current prices (millions of US dollars),1651223.0
498,Republic of Moldova,2019,GDP in current prices (millions of US dollars),11971.0
642,Romania,2019,GDP in current prices (millions of US dollars),251018.0
643,Russian Federation,2019,GDP in current prices (millions of US dollars),1693115.0
646,Rwanda,2019,GDP in current prices (millions of US dollars),10356.0
659,Saint Kitts and Nevis,2019,GDP in current prices (millions of US dollars),1108.0
662,Saint Lucia,2019,GDP in current prices (millions of US dollars),2119.0
670,Saint Vincent & Grenadines,2019,GDP in current prices (millions of US dollars),910.0
882,Samoa,2019,GDP in current prices (millions of US dollars),913.0
674,San Marino,2019,GDP in current prices (millions of US dollars),1616.0
678,Sao Tome and Principe,2019,GDP in current prices (millions of US dollars),431.0
682,Saudi Arabia,2019,GDP in current prices (millions of US dollars),803616.0
686,Senegal,2019,GDP in current prices (millions of US dollars),23404.0
688,Serbia,2019,GDP in current prices (millions of US dollars),51514.0
690,Seychelles,2019,GDP in current prices (millions of US dollars),1645.0
694,Sierra Leone,2019,GDP in current prices (millions of US dollars),4077.0
702,Singapore,2019,GDP in current prices (millions of US dollars),375484.0
534,Sint Maarten (Dutch part),2019,GDP in current prices (millions of US dollars),1376.0
703,Slovakia,2019,GDP in current prices (millions of US dollars),105720.0
705,Slovenia,2019,GDP in current prices (millions of US dollars),54332.0
90,Solomon Islands,2019,GDP in current prices (millions of US dollars),1619.0
706,Somalia,2019,GDP in current prices (millions of US dollars),6485.0
710,South Africa,2019,GDP in current prices (millions of US dollars),388531.0
728,South Sudan,2019,GDP in current prices (millions of US dollars),4306.0
724,Spain,2019,GDP in current prices (millions of US dollars),1394320.0
144,Sri Lanka,2019,GDP in current prices (millions of US dollars),83903.0
275,State of Palestine,2019,GDP in current prices (millions of US dollars),17134.0
729,Sudan,2019,GDP in current prices (millions of US dollars),35119.0
