Code,Region/Country/Area,Year,Series,Value
4,Afghanistan,2021,GDP in current prices (millions of US dollars),14939.0
8,Albania,2021,GDP in current prices (millions of US dollars),18260.0
12,Algeria,2021,GDP in current prices (millions of US dollars),163473.0
20,Andorra,2021,GDP in current prices (millions of US dollars),3325.0
24,Angola,2021,GDP in current prices (millions of US dollars),70533.0
660,Anguilla,2021,GDP in current prices (millions of US dollars),303.0
28,Antigua and Barbuda,2021,GDP in current prices (millions of US dollars),1421.0
32,Argentina,2021,GDP in current prices (millions of US dollars),487227.0
51,Armenia,2021,GDP in current prices (millions of US dollars),13861.0
533,Aruba,2021,GDP in current prices (millions of US dollars),3126.0
36,Australia,2021,GDP in current prices (millions of US dollars),1734532.0
40,Austria,2021,GDP in current prices (millions of US dollars),480368.0
31,Azerbaijan,2021,GDP in current prices (millions of US dollars),54622.0
44,Bahamas,2021,GDP in current prices (millions of US dollars),11209.0
48,Bahrain,2021,GDP in current prices (millions of US dollars),38869.0
50,Bangladesh,2021,GDP in current prices (millions of US dollars),414907.0
52,Barbados,2021,GDP in current prices (millions of US dollars),4844.0
112,Belarus,2021,GDP in current prices (millions of US dollars),68206.0
56,Belgium,2021,GDP in current prices (millions of US dollars),594104.0
84,Belize,2021,GDP in current prices (millions of US dollars),2492.0
204,Benin,2021,GDP in current prices (millions of US dollars),17688.0
60,Bermuda,2021,GDP in current prices (millions of US dollars),7231.0
64,Bhutan,2021,GDP in current prices (millions of US dollars),2381.0
68,Bolivia (Plurin. State of),2021,GDP in current prices (millions of US dollars),40408.0
70,Bosnia and Herzegovina,2021,GDP in current prices (millions of US dollars),23365.0
72,Botswana,2021,GDP in current prices (millions of US dollars),17615.0
76,Brazil,2021,GDP in current prices (millions of US dollars),1608981.0
92,British Virgin Islands,2021,GDP in current prices (millions of US dollars),1539.0
96,Brunei Darussalam,2021,GDP in current prices (millions of US dollars),14006.0
100,Bulgaria,2021,GDP in current prices (millions of US dollars),84058.0
854,Burkina Faso,2021,GDP in current prices (millions of US dollars),19738.0
108,Burundi,2021,GDP in current prices (millions of US dollars),3900.0
132,Cabo Verde,2021,GDP in current prices (millions of US dollars),1936.0
116,Cambodia,2021,GDP in current prices (millions of US dollars),26669.0
120,Cameroon,2021,GDP in current prices (millions of US dollars),45368.0
124,Canada,2021,GDP in current prices (millions of US dollars),1988336.0
136,Cayman Islands,2021,GDP in current prices (millions of US dollars),5809.0
140,Central African Republic,2021,GDP in current prices (millions of US dollars),2518.0
148,Chad,2021,GDP in current prices (millions of US dollars),16410.0
152,Chile,2021,GDP in current prices (millions of US dollars),317059.0
156,China,2021,GDP in current prices (millions of US dollars),17734131.0
344,"China, Hong Kong SAR",2021,GDP in current prices (millions of US dollars),369174.0
446,"China, Macao SAR",2021,GDP in current prices (millions of US dollars),29905.0
170,Colombia,2021,GDP in current prices (millions of US dollars),314464.0
174,Comoros,2021,GDP in current prices (millions of US dollars),1340.0
178,Congo,2021,GDP in current prices (millions of US dollars),12841.0
184,Cook Islands,2021,GDP in current prices (millions of US dollars),328.0
188,Costa Rica,2021,GDP in current prices (millions of US dollars),64282.0
384,C魌e d扞voire,2021,GDP in current prices (millions of US dollars),69765.0
191,Croatia,2021,GDP in current prices (millions of US dollars),68955.0
192,Cuba,2021,GDP in current prices (millions of US dollars),126694.0
531,Cura鏰o,2021,GDP in current prices (millions of US dollars),2700.0
196,Cyprus,2021,GDP in current prices (millions of US dollars),28408.0
203,Czechia,2021,GDP in current prices (millions of US dollars),281778.0
408,Dem. People's Rep. Korea,2021,GDP in current prices (millions of US dollars),16750.0
180,Dem. Rep. of the Congo,2021,GDP in current prices (millions of US dollars),52850.0
208,Denmark,2021,GDP in current prices (millions of US dollars),398303.0
262,Djibouti,2021,GDP in current prices (millions of US dollars),3701.0
212,Dominica,2021,GDP in current prices (millions of US dollars),548.0
214,Dominican Republic,2021,GDP in current prices (millions of US dollars),94243.0
218,Ecuador,2021,GDP in current prices (millions of US dollars),106166.0
818,Egypt,2021,GDP in current prices (millions of US dollars),425906.0
222,El Salvador,2021,GDP in current prices (millions of US dollars),28737.0
226,Equatorial Guinea,2021,GDP in current prices (millions of US dollars),12431.0
232,Eritrea,2021,GDP in current prices (millions of US dollars),2255.0
233,Estonia,2021,GDP in current prices (millions of US dollars),37191.0
748,Eswatini,2021,GDP in current prices (millions of US dollars),4732.0
231,Ethiopia,2021,GDP in current prices (millions of US dollars),99269.0
242,Fiji,2021,GDP in current prices (millions of US dollars),4296.0
246,Finland,2021,GDP in current prices (millions of US dollars),297302.0
250,France,2021,GDP in current prices (millions of US dollars),2957880.0
258,French Polynesia,2021,GDP in current prices (millions of US dollars),6055.0
266,Gabon,2021,GDP in current prices (millions of US dollars),18521.0
270,Gambia,2021,GDP in current prices (millions of US dollars),2038.0
268,Georgia,2021,GDP in current prices (millions of US dollars),18696.0
276,Germany,2021,GDP in current prices (millions of US dollars),4259935.0
288,Ghana,2021,GDP in current prices (millions of US dollars),79083.0
300,Greece,2021,GDP in current prices (millions of US dollars),214874.0
304,Greenland,2021,GDP in current prices (millions of US dollars),3273.0
308,Grenada,2021,GDP in current prices (millions of US dollars),1115.0
320,Guatemala,2021,GDP in current prices (millions of US dollars),85986.0
324,Guinea,2021,GDP in current prices (millions of US dollars),16036.0
624,Guinea-Bissau,2021,GDP in current prices (millions of US dollars),1563.0
328,Guyana,2021,GDP in current prices (millions of US dollars),8044.0
