Code,Region/Country/Area,Year,Series,Value
398,Kazakhstan,2020,GDP in current prices (millions of US dollars),171082.0
404,Kenya,2020,GDP in current prices (millions of US dollars),100667.0
296,Kiribati,2020,GDP in current prices (millions of US dollars),178.0
412,Kosovo,2020,GDP in current prices (millions of US dollars),7734.0
414,Kuwait,2020,GDP in current prices (millions of US dollars),105949.0
417,Kyrgyzstan,2020,GDP in current prices (millions of US dollars),7781.0
418,Lao People's Dem. Rep.,2020,GDP in current prices (millions of US dollars),19116.0
428,Latvia,2020,GDP in current prices (millions of US dollars),34602.0
422,Lebanon,2020,GDP in current prices (millions of US dollars),39047.0
426,Lesotho,2020,GDP in current prices (millions of US dollars),2116.0
430,Liberia,2020,GDP in current prices (millions of US dollars),2481.0
434,Libya,2020,GDP in current prices (millions of US dollars),46842.0
438,Liechtenstein,2020,GDP in current prices (millions of US dollars),6115.0
440,Lithuania,2020,GDP in current prices (millions of US dollars),56847.0
442,Luxembourg,2020,GDP in current prices (millions of US dollars),73993.0
450,Madagascar,2020,GDP in current prices (millions of US dollars),13056.0
454,Malawi,2020,GDP in current prices (millions of US dollars),11762.0
458,Malaysia,2020,GDP in current prices (millions of US dollars),337008.0
462,Maldives,2020,GDP in current prices (millions of US dollars),3746.0
466,Mali,2020,GDP in current prices (millions of US dollars),17465.0
470,Malta,2020,GDP in current prices (millions of US dollars),15036.0
584,Marshall Islands,2020,GDP in current prices (millions of US dollars),244.0
478,Mauritania,2020,GDP in current prices (millions of US dollars),8405.0
480,Mauritius,2020,GDP in current prices (millions of US dollars),11398.0
484,Mexico,2020,GDP in current prices (millions of US dollars),1090515.0
583,Micronesia (Fed. States of),2020,GDP in current prices (millions of US dollars),408.0
492,Monaco,2020,GDP in current prices (millions of US dollars),6740.0
496,Mongolia,2020,GDP in current prices (millions of US dollars),13313.0
499,Montenegro,2020,GDP in current prices (millions of US dollars),4781.0
500,Montserrat,2020,GDP in current prices (millions of US dollars),68.0
504,Morocco,2020,GDP in current prices (millions of US dollars),121348.0
508,Mozambique,2020,GDP in current prices (millions of US dollars),14157.0
104,Myanmar,2020,GDP in current prices (millions of US dollars),78318.0
516,Namibia,2020,GDP in current prices (millions of US dollars),10563.0
520,Nauru,2020,GDP in current prices (millions of US dollars),136.0
